entity_name,aliases,QUERY_short
Honeycomb Investment Trust,Honeycomb  Investment  Trust;Honeycomb Investment Trust;Honeycomb Investment Trust Capital;Honeycomb Investment Trust Fund;HoneycombInvestmentTrust;honeycomb  investment  trust;honeycomb investment trust,"""Honeycomb  Investment  Trust"" OR ""Honeycomb Investment Trust"" OR ""Honeycomb Investment Trust Capital"" OR ""Honeycomb Investment Trust Fund"" OR ""HoneycombInvestmentTrust"" OR ""honeycomb  investment  trust"" OR ""honeycomb investment trust"" OR loan OR lending OR credit OR fintech"
VPC Specialty Lending Investments,V P C  Specialty  Lending  Investments;VPC Specialty Lending Investments;VPC Specialty Lending Investments Capital;VPC Specialty Lending Investments Fund;VPCSpecialtyLendingInvestments;v p c  specialty  lending  investments;vpc specialty lending investments,"""V P C  Specialty  Lending  Investments"" OR ""VPC Specialty Lending Investments"" OR ""VPC Specialty Lending Investments Capital"" OR ""VPC Specialty Lending Investments Fund"" OR ""VPCSpecialtyLendingInvestments"" OR ""v p c  specialty  lending  investments"" OR ""vpc specialty lending investments"" OR loan OR lending OR credit OR fintech"
Ranger Direct Lending Fund,Ranger  Direct  Lending  Fund;Ranger Direct Lending Fund;Ranger Direct Lending Fund Capital;RangerDirectLendingFund;ranger  direct  lending  fund;ranger direct lending fund,"""Ranger  Direct  Lending  Fund"" OR ""Ranger Direct Lending Fund"" OR ""Ranger Direct Lending Fund Capital"" OR ""RangerDirectLendingFund"" OR ""ranger  direct  lending  fund"" OR ""ranger direct lending fund"" OR loan OR lending OR credit OR fintech"
The SME Loan Fund (GLI Alternative Finance),The  S M E  Loan  Fund ( G L I  Alternative  Finance);The SME Loan Fund (GLI Alternative Finance);The SME Loan Fund (GLI Alternative Finance) Capital;TheSMELoanFund(GLIAlternativeFinance);the  s m e  loan  fund ( g l i  alternative  finance);the sme loan fund (gli alternative finance),"""The  S M E  Loan  Fund ( G L I  Alternative  Finance)"" OR ""The SME Loan Fund (GLI Alternative Finance)"" OR ""The SME Loan Fund (GLI Alternative Finance) Capital"" OR ""TheSMELoanFund(GLIAlternativeFinance)"" OR ""the  s m e  loan  fund ( g l i  alternative  finance)"" OR ""the sme loan fund (gli alternative finance)"" OR loan OR lending OR credit OR fintech"
Accial Capital Fund 1,Accial  Capital  Fund 1;Accial Capital Fund 1;AccialCapitalFund1;accial  capital  fund 1;accial capital fund 1,"""Accial  Capital  Fund 1"" OR ""Accial Capital Fund 1"" OR ""AccialCapitalFund1"" OR ""accial  capital  fund 1"" OR ""accial capital fund 1"" OR loan OR lending OR credit OR fintech"
Lendable MSME Fintech Credit Fund,Lendable  M S M E  Fintech  Credit  Fund;Lendable MSME Fintech Credit Fund;Lendable MSME Fintech Credit Fund Capital;LendableMSMEFintechCreditFund;lendable  m s m e  fintech  credit  fund;lendable msme fintech credit fund,"""Lendable  M S M E  Fintech  Credit  Fund"" OR ""Lendable MSME Fintech Credit Fund"" OR ""Lendable MSME Fintech Credit Fund Capital"" OR ""LendableMSMEFintechCreditFund"" OR ""lendable  m s m e  fintech  credit  fund"" OR ""lendable msme fintech credit fund"" OR loan OR lending OR credit OR fintech"
Prime Meridian Income Fund,Prime  Meridian  Income  Fund;Prime Meridian Income Fund;Prime Meridian Income Fund Capital;PrimeMeridianIncomeFund;prime  meridian  income  fund;prime meridian income fund,"""Prime  Meridian  Income  Fund"" OR ""Prime Meridian Income Fund"" OR ""Prime Meridian Income Fund Capital"" OR ""PrimeMeridianIncomeFund"" OR ""prime  meridian  income  fund"" OR ""prime meridian income fund"" OR loan OR lending OR credit OR fintech"
Stone Ridge Alt. Lending Risk Prem. Fund,Stone  Ridge  Alt.  Lending  Risk  Prem.  Fund;Stone Ridge Alt. Lending Risk Prem. Fund;Stone Ridge Alt. Lending Risk Prem. Fund Capital;StoneRidgeAlt.LendingRiskPrem.Fund;stone  ridge  alt.  lending  risk  prem.  fund;stone ridge alt. lending risk prem. fund,"""Stone  Ridge  Alt.  Lending  Risk  Prem.  Fund"" OR ""Stone Ridge Alt. Lending Risk Prem. Fund"" OR ""Stone Ridge Alt. Lending Risk Prem. Fund Capital"" OR ""StoneRidgeAlt.LendingRiskPrem.Fund"" OR ""stone  ridge  alt.  lending  risk  prem.  fund"" OR ""stone ridge alt. lending risk prem. fund"" OR loan OR lending OR credit OR fintech"
DV01,D V01;DV01;d v01;dv01,"""D V01"" OR ""DV01"" OR ""d v01"" OR ""dv01"" OR loan OR lending OR credit OR fintech"
Cardoai,Cardoai;cardoai,"""Cardoai"" OR ""cardoai"" OR loan OR lending OR credit OR fintech"
Lendity,Lendity;lendity,"""Lendity"" OR ""lendity"" OR loan OR lending OR credit OR fintech"
i2invest,i2invest,"""i2invest"" OR loan OR lending OR credit OR fintech"
Crosslend,Crosslend;crosslend,"""Crosslend"" OR ""crosslend"" OR loan OR lending OR credit OR fintech"
Alterest,Alterest;alterest,"""Alterest"" OR ""alterest"" OR loan OR lending OR credit OR fintech"
Fintex Capital,Fintex  Capital;Fintex Capital;FintexCapital;fintex  capital;fintex capital,"""Fintex  Capital"" OR ""Fintex Capital"" OR ""FintexCapital"" OR ""fintex  capital"" OR ""fintex capital"" OR loan OR lending OR credit OR fintech"
Mintos,Mintos;mintos,"""Mintos"" OR ""mintos"" OR loan OR lending OR credit OR fintech"
Accial Capital,Accial  Capital;Accial Capital;AccialCapital;accial  capital;accial capital,"""Accial  Capital"" OR ""Accial Capital"" OR ""AccialCapital"" OR ""accial  capital"" OR ""accial capital"" OR loan OR lending OR credit OR fintech"
Lendable Inc.,Lendable  Inc.;Lendable Inc.;LendableInc.;lendable  inc.;lendable inc.,"""Lendable  Inc."" OR ""Lendable Inc."" OR ""LendableInc."" OR ""lendable  inc."" OR ""lendable inc."" OR loan OR lending OR credit OR fintech"
Northern Arc Capital,Northern  Arc  Capital;Northern Arc Capital;NorthernArcCapital;northern  arc  capital;northern arc capital,"""Northern  Arc  Capital"" OR ""Northern Arc Capital"" OR ""NorthernArcCapital"" OR ""northern  arc  capital"" OR ""northern arc capital"" OR loan OR lending OR credit OR fintech"
Goldfinch,Goldfinch;goldfinch,"""Goldfinch"" OR ""goldfinch"" OR loan OR lending OR credit OR fintech"
Vauras,Vauras;Vauras P2P;Vauras platform;vauras,"""Vauras"" OR ""Vauras P2P"" OR ""Vauras platform"" OR ""vauras"" OR loan OR lending OR credit OR fintech"
Smart Lenders,Smart Lenders;Smart Lenders AM;SmartLenders;smartlenders,"""Smart Lenders"" OR ""Smart Lenders AM"" OR ""SmartLenders"" OR ""smartlenders"" OR loan OR lending OR credit OR fintech"
Tavis Capital,Tavis Capital;TavisCapital;taviscapital,"""Tavis Capital"" OR ""TavisCapital"" OR ""taviscapital"" OR loan OR lending OR credit OR fintech"
Viola Credit,Viola Credit;ViolaCredit;violacredit,"""Viola Credit"" OR ""ViolaCredit"" OR ""violacredit"" OR loan OR lending OR credit OR fintech"
Winyield,Winyield;WinYield;winyield,"""Winyield"" OR ""WinYield"" OR ""winyield"" OR loan OR lending OR credit OR fintech"
